iter	Logloss
0	0.6778361796
1	0.6638861179
2	0.6509294673
3	0.6400458637
4	0.6298276279
5	0.6202194131
6	0.6119503239
7	0.6041299421
8	0.5968652178
9	0.5908850005
10	0.5841093336
11	0.5787448119
12	0.5727964131
13	0.5678099018
14	0.5631859191
15	0.5588455901
16	0.554118357
17	0.5508636679
18	0.5457570926
19	0.5421859915
20	0.5374200069
21	0.5340435063
22	0.5305853802
23	0.5273953099
24	0.5244015034
25	0.5212143453
26	0.5189150982
27	0.5159841803
28	0.5130269217
29	0.5109125295
30	0.5069711498
31	0.5045191824
32	0.5010644093
33	0.4991075083
34	0.4977891733
35	0.4947916912
36	0.4933711353
37	0.4903344321
38	0.48797492
39	0.4854448824
40	0.4836512102
41	0.4817883288
42	0.4805802729
43	0.4791677241
44	0.4774574697
45	0.4759274994
46	0.4740115221
47	0.4721923228
48	0.4706276522
49	0.4696611738
50	0.4682385142
51	0.4666514829
52	0.4650243266
53	0.4633092253
54	0.4620708858
55	0.4612228719
56	0.4601880092
57	0.4590283699
58	0.4572917919
59	0.4561041642
60	0.4550136246
61	0.4539310131
62	0.4533694873
63	0.4526539128
64	0.451733673
65	0.4512216101
66	0.4504802564
67	0.4490235392
68	0.4473635619
69	0.4469164475
70	0.4459513242
71	0.4445250242
72	0.4433572649
73	0.4427438648
74	0.4420812799
75	0.4407173653
76	0.4400735286
77	0.4393985585
78	0.4390416448
79	0.4384405059
80	0.4368764952
81	0.4362001145
82	0.4334329196
83	0.4329749472
84	0.4317909004
85	0.4306264404
86	0.4298162991
87	0.429143385
88	0.4280658297
89	0.4263891529
90	0.4254415163
91	0.424492405
92	0.4228614909
93	0.4218558069
94	0.4209863783
95	0.4200844467
96	0.4192577922
97	0.418817809
98	0.4175888368
99	0.416916517
100	0.4162449204
101	0.4151148455
102	0.4138309732
103	0.4128297808
104	0.4126441378
105	0.4119533787
106	0.4112424209
107	0.410694166
108	0.4098818954
109	0.4096632989
110	0.4086531618
111	0.4083254292
112	0.4075115373
113	0.4061034906
114	0.4058381262
115	0.4049564635
116	0.4048091775
117	0.4034152028
118	0.4031112054
119	0.4030222735
120	0.4019598531
121	0.4016123345
122	0.4010453006
123	0.4000731072
124	0.3992623659
125	0.3988175203
126	0.3980687754
127	0.3974431155
128	0.3967397449
129	0.395917458
130	0.3951140299
