iter	Passed	Remaining
0	12	5325
1	25	5514
2	43	6390
3	66	7254
4	87	7648
5	107	7811
6	126	7830
7	147	7986
8	168	8111
9	190	8219
10	210	8260
11	228	8190
12	248	8184
13	269	8244
14	289	8239
15	311	8295
16	334	8374
17	351	8282
18	374	8345
19	398	8418
20	420	8437
21	444	8485
22	458	8354
23	481	8380
24	495	8259
25	516	8261
26	536	8251
27	550	8143
28	569	8114
29	588	8083
30	607	8060
31	626	8033
32	647	8020
33	664	7972
34	683	7948
35	702	7921
36	720	7889
37	738	7851
38	756	7813
39	774	7785
40	793	7765
41	806	7683
42	959	8902
43	1000	9048
44	1015	8960
45	1072	9236
46	1085	9118
47	1104	9064
48	1122	9002
49	1141	8947
50	1165	8938
51	1192	8944
52	1213	8909
53	1234	8871
54	1257	8845
55	1278	8809
56	1298	8768
57	1321	8752
58	1343	8719
59	1364	8686
60	1385	8651
61	1405	8616
62	1424	8570
63	1446	8542
64	1467	8509
65	1488	8479
66	1508	8445
67	1527	8399
68	1608	8695
69	1631	8670
70	1653	8639
71	1675	8610
72	1688	8533
73	1714	8526
74	1791	8768
75	1813	8731
76	1832	8684
77	1851	8641
78	1875	8616
79	1894	8572
80	1915	8538
81	1937	8504
82	1960	8478
83	1978	8433
84	2000	8400
85	2019	8359
86	2032	8293
87	2052	8255
88	2072	8218
89	2092	8185
90	2112	8146
91	2131	8109
92	2153	8080
93	2176	8057
94	2198	8031
95	2219	7998
96	2240	7969
97	2260	7933
98	2279	7896
99	2300	7869
100	2320	7835
101	2340	7803
102	2364	7783
103	2385	7752
104	2405	7720
105	2425	7689
106	2446	7659
107	2469	7636
108	2492	7614
109	2511	7581
110	2532	7552
111	2551	7517
112	2569	7480
113	2588	7447
114	2606	7411
115	2624	7376
116	2643	7343
117	2661	7308
118	2680	7276
119	2698	7241
120	2717	7209
121	2735	7174
122	2754	7144
123	2773	7112
124	2794	7085
125	2812	7052
126	2831	7022
127	2850	6992
128	2868	6960
129	2888	6932
130	2900	6886
